url,domain,storeName,emails,phones,productCount,score,pitchType,error
https://aachho.com,aachho.com,Aachho,"support@aachho.com, grievance@aachho.com, founders@aachho.com",+917023098686,Active,100,Full Suite,
https://idalia.in,idalia.in,Idalia.in,"care@idalia.in, care@idalia.in,idaliapanache@gmail.com, idaliapanache@gmail.com","+91 9983770088, 91) 9024366262, +91-7823877777, +91-8890488904",Active,100,Full Suite,
https://saltattire.com,saltattire.com,SALT ATTIRE,care@saltattire.com,"18002709515, +91 9311073947, +91 8976892272, +91 8976892273, +91 9311073946",Active,100,Full Suite,
https://saundh.com,saundh.com,Saundh,"askme@saundh.in, careers@saundh.com, marketing@saundh.com","+917069090015, +91 70690 90097, +91 87996 78588",Active,90,Full Suite,
https://houseoffett.com,houseoffett.com,House of Fett,"sales@houseoffett.com, pr@houseoffett.com, careers@houseoffett.com, abhinav@houseoffett.com","+91 9582555078, +91 9899332992, +91 9582555047",Active,90,Full Suite,
https://okhai.org,okhai.org,Okhaistore,"prakash@okhai.org, okhaicfe@okhai.org","07966131721, 916359021222, 6359021222",Active,90,Full Suite,
https://fashor.com,fashor.com,FASHOR,care@fashor.com,"7930635780182, 2026-07-02, 45270684467286, 37340851437654, 1782991850, 45270684500054, 45270684532822, 45270684565590, 45270684598358, 29226072440918, 1782991851, 29226072571990, 29226072473686, 29226072506454, 29226072604758, 29226072539222, 29226072637526, 7930669039702, 45270732800086, 37340997550166, 1782992763, 45270732832854, 45270732865622, 45270732898390, 45270732931158, 29226218487894, 29226218618966, 29226218750038, 29226218520662, 29226218553430, 29226218586198, 29226218651734, 29226218684502, 29226218717270, 7930674577494, 2000-3000, 2001-3000, 45270746169430, 37341059612758, 1782993451, 45270746202198, 45270746234966, 45270746267734, 45270746300502, 29226280288342, 1782993452, 29226280386646, 29226280484950, 29226280321110, 29226280353878, 29226280419414, 29226280452182, 7930692304982, 45270766878806, 37341129408598, 1782994023, 45270766911574, 45270766944342, 45270766977110, 45270767009878, 29226350182486, 1782994024, 29226350346326, 29226350379094, 29226350215254, 29226350280790, 29226350248022, 29226350313558, 7930708394070, 45270786736214, 37341236428886, 8989-225, 1782994678, 45270786768982, 45270786801750, 45270786834518, 45270786867286, 29226457006166, 1782994677, 29226457137238, 29226456973398, 29226457038934, 29226457104470, 29226457071702, 29226457170006, 7930759872598, 45270858137686, 37341318971478, 1782995267, 45270858170454, 45270858203222, 45270858235990, 45270858268758, 29226539647062, 29226539745366, 29226539810902, 29226539679830, 29226539712598, 29226539614294, 29226539778134, 7930816856150, 45270966599766, 37341604413526, 1782998159, 45270966632534, 45270966665302, 45270966698070, 45270966730838, 29226823581782, 1782998163, 1782998158, 29226823680086, 29226823549014, 29226823811158, 29226823614550, 29226823647318, 29226823712854, 29226823745622, 29226823778390, 7930828914774, 45270989504598, 37341646782550, 1782998565, 45270989537366, 45270989570134, 45270989602902, 29226865918038, 29226865655894, 29226865852502, 29226865885270, 29226865786966, 29226865819734, 29226865754198, 29226865721430, 29226865688662, 7930862731350, 1001-2000, 45271076208726, 37341745840214, 1782999247, 45271076241494, 45271076274262, 45271076307030, 45271076339798, 29226964975702, 1782999246, 29226965139542, 29226965008470, 29226965074006, 29226965041238, 29226965106774, 7930837598294, 45271007592534, 37341700423766, 1782998956, 45271007625302, 45271007658070, 45271007690838, 29226919559254, 29226919690326, 29226919592022, 29226919657558, 29226919624790, 29226919526486, +91 9884222300",Active,90,Full Suite,
https://jaipurkurti.com,jaipurkurti.com,jaipurkurti,care@jaipurkurti.com,"+91%208078678116, 91) 9314966969, 91) 8078678116",Active,90,Full Suite,
https://shopforaurelia.com,shopforaurelia.com,shopforaureliaIn,"customercare.tcns@abfrl.adityabirla.com, career@shopforaurelia.net, sales@shopforaurelia.net","+91 7840041638, +91-8796121632",Active,90,Full Suite,
https://thelabellife.com,thelabellife.com,The Label Life,help@thelabellife.com,08047106223,Active,90,Full Suite,
